date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:01:25	120/120	---MCZ	200	added ('OK')	text/plain	date:Thu,%2028%20Jul%202022%2002:01:26%20GMT	https://goldenblatt.bold-themes.com/robots.txt		(from )
09:01:26	329300/329300	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Jul%202022%2002:01:26%20GMT	https://goldenblatt.bold-themes.com/main-demo/	D:/Project/Scomptec/1.%20Tampilan/Template%20Sela%20New%205/goldenblatt.bold-themes.com/main-demo/index.html	(from )
09:01:27	6351/6351	---MC-	200	added ('OK')	application/rss+xml	etag:%22ecac113e9a82f80d5fb73cd679a9f17f%22	https://goldenblatt.bold-themes.com/main-demo/comments/feed/	D:/Project/Scomptec/1.%20Tampilan/Template%20Sela%20New%205/goldenblatt.bold-themes.com/main-demo/comments/feed/index.html	(from https://goldenblatt.bold-themes.com/main-demo/)
09:01:27	29842/29842	---MC-	200	added ('OK')	application/rss+xml	etag:%22ecac113e9a82f80d5fb73cd679a9f17f%22	https://goldenblatt.bold-themes.com/main-demo/feed/	D:/Project/Scomptec/1.%20Tampilan/Template%20Sela%20New%205/goldenblatt.bold-themes.com/main-demo/feed/index.html	(from https://goldenblatt.bold-themes.com/main-demo/)
09:01:28	88932/88932	---MCZ	200	added ('OK')	text/css	etag:W/%2215b64-5e4d2212a7df1%22	https://goldenblatt.bold-themes.com/main-demo/wp-includes/css/dist/block-library/style.min.css?ver=6.0.1	D:/Project/Scomptec/1.%20Tampilan/Template%20Sela%20New%205/goldenblatt.bold-themes.com/main-demo/wp-includes/css/dist/block-library/style.min37ad.css	(from https://goldenblatt.bold-themes.com/main-demo/)
09:01:28	4933/4933	---MCZ	200	added ('OK')	text/css	etag:W/%221345-5e4d2228cc3c6%22	https://goldenblatt.bold-themes.com/main-demo/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=7.8.3	D:/Project/Scomptec/1.%20Tampilan/Template%20Sela%20New%205/goldenblatt.bold-themes.com/main-demo/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-styled01d.css	(from https://goldenblatt.bold-themes.com/main-demo/)
09:01:28	209885/209885	---MCZ	200	added ('OK')	text/css	etag:W/%22333dd-5e4d2228cac56%22	https://goldenblatt.bold-themes.com/main-demo/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=7.8.3	D:/Project/Scomptec/1.%20Tampilan/Template%20Sela%20New%205/goldenblatt.bold-themes.com/main-demo/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-styled01d.css	(from https://goldenblatt.bold-themes.com/main-demo/)
09:01:29	1333467/1333467	---MCZ	200	added ('OK')	text/css	etag:W/%221458db-5e4d222c5da13%22	https://goldenblatt.bold-themes.com/main-demo/wp-content/plugins/bold-page-builder/css/front_end/content_elements.crush.css?ver=4.3.9	D:/Project/Scomptec/1.%20Tampilan/Template%20Sela%20New%205/goldenblatt.bold-themes.com/main-demo/wp-content/plugins/bold-page-builder/css/front_end/content_elements.crush5d0b.css	(from https://goldenblatt.bold-themes.com/main-demo/)
09:01:29	1776/1776	---MCZ	200	added ('OK')	text/css	etag:W/%226f0-5e4d222c4f397%22	https://goldenblatt.bold-themes.com/main-demo/wp-content/plugins/bold-page-builder/slick/slick.css?ver=4.3.9	D:/Project/Scomptec/1.%20Tampilan/Template%20Sela%20New%205/goldenblatt.bold-themes.com/main-demo/wp-content/plugins/bold-page-builder/slick/slick5d0b.css	(from https://goldenblatt.bold-themes.com/main-demo/)
09:01:30	35318/35318	---MCZ	200	added ('OK')	text/css	etag:W/%2289f6-597c8bbe3e00d%22	https://goldenblatt.bold-themes.com/main-demo/wp-content/plugins/bt_cost_calculator/style.min.css?ver=6.0.1	D:/Project/Scomptec/1.%20Tampilan/Template%20Sela%20New%205/goldenblatt.bold-themes.com/main-demo/wp-content/plugins/bt_cost_calculator/style.min37ad.css	(from https://goldenblatt.bold-themes.com/main-demo/)
09:01:30	2731/2731	---MCZ	200	added ('OK')	text/css	etag:W/%22aab-5e4d222e3af54%22	https://goldenblatt.bold-themes.com/main-demo/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.6.1	D:/Project/Scomptec/1.%20Tampilan/Template%20Sela%20New%205/goldenblatt.bold-themes.com/main-demo/wp-content/plugins/contact-form-7/includes/css/stylesd96d.css	(from https://goldenblatt.bold-themes.com/main-demo/)
09:01:31	503605/503605	---MCZ	200	added ('OK')	text/css	etag:W/%227af35-5d67e48465f05%22	https://goldenblatt.bold-themes.com/main-demo/wp-content/themes/goldenblatt/style.css?ver=6.0.1	D:/Project/Scomptec/1.%20Tampilan/Template%20Sela%20New%205/goldenblatt.bold-themes.com/main-demo/wp-content/themes/goldenblatt/style37ad.css	(from https://goldenblatt.bold-themes.com/main-demo/)
09:01:31	54264/54264	---M--	200	added ('OK')	font/woff	etag:%22d3f8-5984ff6dad35e%22	https://goldenblatt.bold-themes.com/main-demo/wp-content/themes/goldenblatt/fonts/Business/Business.woff	D:/Project/Scomptec/1.%20Tampilan/Template%20Sela%20New%205/goldenblatt.bold-themes.com/main-demo/wp-content/themes/goldenblatt/fonts/Business/Business.woff	(from https://goldenblatt.bold-themes.com/main-demo/)
09:01:31	119796/119796	---M--	200	added ('OK')	font/ttf	etag:%221d3f4-5984ff6d053fe%22	https://goldenblatt.bold-themes.com/main-demo/wp-content/themes/goldenblatt/fonts/Business/Business.ttf	D:/Project/Scomptec/1.%20Tampilan/Template%20Sela%20New%205/goldenblatt.bold-themes.com/main-demo/wp-content/themes/goldenblatt/fonts/Business/Business.ttf	(from https://goldenblatt.bold-themes.com/main-demo/)
09:01:32	34852/34852	---M--	200	added ('OK')	font/woff	etag:%228824-5984ff6fa3a0d%22	https://goldenblatt.bold-themes.com/main-demo/wp-content/themes/goldenblatt/fonts/Design/Design.woff	D:/Project/Scomptec/1.%20Tampilan/Template%20Sela%20New%205/goldenblatt.bold-themes.com/main-demo/wp-content/themes/goldenblatt/fonts/Design/Design.woff	(from https://goldenblatt.bold-themes.com/main-demo/)
09:01:32	115444/115444	---M--	200	added ('OK')	font/ttf	etag:%221c2f4-5984ff6f39eb9%22	https://goldenblatt.bold-themes.com/main-demo/wp-content/themes/goldenblatt/fonts/Design/Design.ttf	D:/Project/Scomptec/1.%20Tampilan/Template%20Sela%20New%205/goldenblatt.bold-themes.com/main-demo/wp-content/themes/goldenblatt/fonts/Design/Design.ttf	(from https://goldenblatt.bold-themes.com/main-demo/)
09:01:32	52676/52676	---M--	200	added ('OK')	font/woff	etag:%22cdc4-5984ff729020b%22	https://goldenblatt.bold-themes.com/main-demo/wp-content/themes/goldenblatt/fonts/Dripicons/Dripicons.woff	D:/Project/Scomptec/1.%20Tampilan/Template%20Sela%20New%205/goldenblatt.bold-themes.com/main-demo/wp-content/themes/goldenblatt/fonts/Dripicons/Dripicons.woff	(from https://goldenblatt.bold-themes.com/main-demo/)
09:01:32	52600/52600	---M--	200	added ('OK')	font/ttf	etag:%22cd78-5984ff71c735a%22	https://goldenblatt.bold-themes.com/main-demo/wp-content/themes/goldenblatt/fonts/Dripicons/Dripicons.ttf	D:/Project/Scomptec/1.%20Tampilan/Template%20Sela%20New%205/goldenblatt.bold-themes.com/main-demo/wp-content/themes/goldenblatt/fonts/Dripicons/Dripicons.ttf	(from https://goldenblatt.bold-themes.com/main-demo/)
